transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2019-07-26,MSFT,"COURTOIS, JEAN PHILIPPE",Executive Vice President,Common Stock,D,4493.0,140.19
2019-06-13,MSFT,"HOFFMAN, REID",Director,Restricted Stock Units,A,26.0,0.0
2019-06-13,MSFT,"LIST-STOLL, TERI",Director,Restricted Stock Units,A,59.0,0.0
2019-06-13,MSFT,"WARRIOR, PADMASREE",Director,Restricted Stock Units,A,10.0,0.0
2019-06-13,MSFT,"THOMPSON, JOHN WENDELL",Director,Restricted Stock Units,A,88.0,0.0
2019-06-13,MSFT,"THOMPSON, JOHN WENDELL",Director,Restricted Stock Units,A,120.0,0.0
2019-06-13,MSFT,"PRITZKER, PENNY S",Director,Restricted Stock Units,A,16.0,0.0
2019-06-13,MSFT,"PETERSON, SANDRA E",Director,Restricted Stock Units,A,53.0,0.0
2019-06-13,MSFT,"NOSKI, CHARLES H",Director,Restricted Stock Units,A,336.0,0.0
2019-06-10,MSFT,"HOGAN, KATHLEEN T","EVP, Human Resources",Common Stock,D,15947.0,133.1695
2019-05-31,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,873.0,125.73
2019-05-28,MSFT,"WARRIOR, PADMASREE",Director,Common Stock,A,396.0,0.0
2019-05-28,MSFT,"SORENSON, ARNE M",Director,Common Stock,A,396.0,0.0
2019-05-28,MSFT,"PRITZKER, PENNY S",Director,Restricted Stock Units,A,644.0,0.0
2019-05-28,MSFT,"PANKE, HELMUT",Director,Common Stock,A,396.0,0.0
2019-05-28,MSFT,"PANKE, HELMUT",Director,Common Stock,D,119.0,126.16
2019-05-28,MSFT,"PETERSON, SANDRA E",Director,Restricted Stock Units,A,644.0,0.0
2019-05-28,MSFT,"SCHARF, CHARLES W",Director,Common Stock,A,396.0,0.0
2019-05-28,MSFT,"STANTON, JOHN W",Director,Common Stock,A,396.0,0.0
2019-05-28,MSFT,"WARRIOR, PADMASREE",Director,Restricted Stock Units,A,123.0,0.0
2014-09-28,MSFT,"BRUMMEL, LISA E",Senior Vice President,Common Stock,D,25000.0,44.2626
2014-09-11,MSFT,"DUBLON, DINA",Director,Restricted Stock Units,A,32.0,0.0
2014-09-11,MSFT,"DUBLON, DINA",Director,Restricted Stock Units,A,101.0,0.0
2014-09-04,MSFT,"BRUMMEL, LISA E",Senior Vice President,Common Stock,D,57618.0,45.0517
2014-09-03,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,A,29717.0,0.0
2014-09-03,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,A,13208.0,0.0
2014-09-02,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,15803.0,45.43
2014-09-02,MSFT,"TURNER, BRIAN KEVIN",Chief Operating Officer,Common Stock,D,166163.0,45.1549
2014-09-02,MSFT,"SMITH, BRADFORD L",Executive Vice President,Common Stock,D,50875.0,45.43
2014-09-02,MSFT,"NADELLA, SATYA","President, Server and Tools",Common Stock,D,58978.0,45.43
2014-09-02,MSFT,"HOOD, AMY",Chief Financial Officer,Common Stock,D,8677.0,45.43
2014-09-02,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,37613.0,45.43
2014-09-02,MSFT,"BRUMMEL, LISA E",Senior Vice President,Common Stock,D,32014.0,45.43
2014-09-02,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,58978.0,45.43
2014-09-02,MSFT,"TURNER, BRIAN KEVIN",Chief Operating Officer,Common Stock,D,90250.0,45.43
2014-08-29,MSFT,"TURNER, BRIAN KEVIN",Chief Operating Officer,Common Stock,D,29830.0,44.88
2014-08-29,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,2297.0,44.88
2014-08-29,MSFT,"HOOD, AMY",Chief Financial Officer,Common Stock,D,11932.0,44.88
2014-08-29,MSFT,"SMITH, BRADFORD L",Executive Vice President,Common Stock,D,12447.0,44.88
2014-08-29,MSFT,"BRUMMEL, LISA E",Senior Vice President,Common Stock,D,6814.0,44.88
2014-08-29,MSFT,"NADELLA, SATYA","President, Server and Tools",Common Stock,D,20297.0,44.88
2014-08-29,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,20297.0,44.88
2014-08-19,MSFT,"THOMPSON, JOHN WENDELL",Director,Restricted Stock Units,A,3171.0,0.0
2014-08-19,MSFT,"STANTON, JOHN W",Director,Common Stock,A,188.0,0.0
2014-08-19,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,A,827.0,0.0
2014-08-19,MSFT,"GATES, WILLIAM H III",Director,Common Stock,A,827.0,0.0
2014-08-19,MSFT,"PANKE, HELMUT",Director,Common Stock,A,827.0,0.0
2014-08-19,MSFT,"PANKE, HELMUT",Director,Common Stock,D,249.0,45.33
2014-08-19,MSFT,"NOSKI, CHARLES H",Director,Restricted Stock Units,A,827.0,0.0
2014-08-19,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,A,827.0,0.0
2014-08-19,MSFT,"KLAWE, MARIA",Director,Common Stock,A,827.0,0.0
2014-08-19,MSFT,"DUBLON, DINA",Director,Common Stock,A,827.0,0.0
2014-08-19,MSFT,"BALLMER, STEVEN A",Director,Common Stock,A,827.0,0.0
2014-08-05,MSFT,"THOMPSON, JOHN WENDELL",Director,Common Stock,A,23194.0,43.1164
2014-07-30,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,4999057.0,43.4464
2014-07-29,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,2590107.0,43.9559
2014-07-28,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,3360000.0,44.1665
2014-07-28,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,1500.0,44.035
2014-07-25,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,4905836.0,44.5011
2014-07-25,MSFT,"TURNER, BRIAN KEVIN",Chief Operating Officer,Common Stock,D,64323.0,44.5138
2014-07-24,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,4145000.0,44.5366
2014-06-30,MSFT,"TURNER, BRIAN KEVIN",Chief Operating Officer,Common Stock,D,40532.0,42.25
2014-06-25,MSFT,"HOOD, AMY",Chief Financial Officer,Common Stock,A,118963.0,0.0
2014-06-17,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,635.0,41.5
2014-06-12,MSFT,"NOSKI, CHARLES H",Director,Restricted Stock Units,A,504.0,0.0
2014-06-12,MSFT,"THOMPSON, JOHN WENDELL",Director,Restricted Stock Units,A,90.0,0.0
2014-06-12,MSFT,"DUBLON, DINA",Director,Restricted Stock Units,A,117.0,0.0
2014-06-12,MSFT,"DUBLON, DINA",Director,Restricted Stock Units,A,37.0,0.0
2014-06-05,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,D,611.0,0.0
2014-05-19,MSFT,"KLAWE, MARIA",Director,Common Stock,A,943.0,0.0
2014-05-19,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,A,611.0,0.0
2014-05-19,MSFT,"PANKE, HELMUT",Director,Common Stock,A,943.0,0.0
2014-05-19,MSFT,"PANKE, HELMUT",Director,Common Stock,D,283.0,39.75
2014-05-19,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,A,943.0,0.0
2014-05-19,MSFT,"DUBLON, DINA",Director,Common Stock,A,943.0,0.0
2014-05-19,MSFT,"NOSKI, CHARLES H",Director,Restricted Stock Units,A,943.0,0.0
2014-05-19,MSFT,"GATES, WILLIAM H III",Director,Common Stock,A,943.0,0.0
2014-05-19,MSFT,"BALLMER, STEVEN A",Director,Common Stock,A,917.0,0.0
2014-05-15,MSFT,"HOOD, AMY",Chief Financial Officer,Common Stock,D,13725.0,40.24
2014-05-09,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,A,800000.0,39.56
2014-05-09,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,A,500000.0,39.59
2014-05-09,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,A,463000.0,39.54
2014-05-09,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,A,600000.0,39.58
2014-05-08,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,A,300000.0,39.49
2014-05-08,MSFT,"MORFIT, G MASON","Director, See Remarks",Common Stock,A,287501.0,39.5
2014-05-06,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,39.2194
2014-05-05,MSFT,"SHUM, HEUNG-YEUNG","EVP, Technology and Research",Common Stock,D,50000.0,39.4418
